lat,lon,validdate,edr_300hPa:m23s1,turbulence_ellrod_300hPa:s2,richardson_number_300hPa:idx,turbulence_cape:m23s,wind_speed_10000m:ms,wind_dir_10000m:d,wind_speed_2m:ms,wind_dir_2m:d
41.79807,2.55805,2025-04-01T00:00:00Z,0.024,1.4,10.0,0.0,23.8,350.9,0.2,265.0
41.79807,2.65805,2025-04-01T00:00:00Z,0.026,1.4,10.0,0.0,24.3,350.0,0.3,280.4
41.79807,2.75805,2025-04-01T00:00:00Z,0.028,1.5,10.0,0.0,24.3,349.4,0.2,318.1
41.79807,2.85805,2025-04-01T00:00:00Z,0.041,1.8,10.0,0.0,25.0,348.5,0.2,10.5
41.79807,2.95805,2025-04-01T00:00:00Z,0.055,2.2,10.0,0.0,25.4,347.7,0.1,35.2
41.79807,3.05805,2025-04-01T00:00:00Z,0.078,2.8,10.0,0.0,25.7,347.3,0.4,31.9
41.79807,3.15805,2025-04-01T00:00:00Z,0.109,3.1,10.0,0.0,26.2,346.9,2.7,26.4
41.79807,3.25805,2025-04-01T00:00:00Z,0.138,3.3,10.0,0.0,26.8,346.7,5.2,24.3
41.79807,3.35805,2025-04-01T00:00:00Z,0.14,3.2,10.0,0.0,27.4,346.8,6.9,22.2
41.79807,3.45805,2025-04-01T00:00:00Z,0.142,3.0,10.0,0.0,28.1,346.8,7.4,18.2
41.79807,3.55805,2025-04-01T00:00:00Z,0.149,2.9,10.0,0.0,28.8,346.7,7.9,14.0
41.79807,3.65805,2025-04-01T00:00:00Z,0.161,3.1,10.0,0.0,29.6,346.5,9.2,12.6
41.79807,3.75805,2025-04-01T00:00:00Z,0.172,3.6,8.8,0.0,30.4,346.3,10.6,12.9
41.79807,3.85805,2025-04-01T00:00:00Z,0.184,4.3,7.0,0.0,31.2,346.2,11.3,12.0
41.79807,3.95805,2025-04-01T00:00:00Z,0.195,5.3,6.0,0.0,32.1,346.2,11.1,7.3
41.79807,4.05805,2025-04-01T00:00:00Z,0.201,6.8,5.5,0.0,32.9,346.3,10.7,0.5
41.79807,4.15805,2025-04-01T00:00:00Z,0.203,8.7,5.2,0.0,33.7,346.8,10.3,354.6
41.79807,4.25805,2025-04-01T00:00:00Z,0.201,9.6,4.9,0.0,34.6,347.5,9.7,351.0
41.79807,4.35805,2025-04-01T00:00:00Z,0.166,8.5,4.6,0.0,35.4,348.3,9.1,349.5
41.79807,4.45805,2025-04-01T00:00:00Z,0.13,5.9,4.3,0.0,36.1,349.0,8.8,348.3
41.79807,4.55805,2025-04-01T00:00:00Z,0.099,3.2,4.4,0.0,36.7,349.5,8.6,346.6
41.79807,4.65805,2025-04-01T00:00:00Z,0.071,2.0,4.7,0.0,37.1,349.7,8.2,343.8
41.79807,4.75805,2025-04-01T00:00:00Z,0.045,1.7,5.2,0.0,37.4,349.8,7.7,340.7
41.79807,4.85805,2025-04-01T00:00:00Z,0.048,1.6,5.9,0.0,37.7,349.9,7.2,338.6
41.79807,4.95805,2025-04-01T00:00:00Z,0.051,1.7,6.9,0.0,38.0,350.1,6.6,337.2
41.79807,5.05805,2025-04-01T00:00:00Z,0.052,1.6,8.3,0.0,38.2,350.3,5.9,335.8
41.79807,5.15805,2025-04-01T00:00:00Z,0.053,1.7,10.0,0.0,38.4,350.6,5.2,334.1
41.79807,5.25805,2025-04-01T00:00:00Z,0.054,1.7,10.0,0.0,38.5,351.0,4.5,334.4
41.79807,5.35805,2025-04-01T00:00:00Z,0.053,1.3,10.0,0.0,38.5,351.4,3.5,338.3
41.79807,5.45805,2025-04-01T00:00:00Z,0.052,0.8,10.0,0.0,38.4,351.7,2.6,346.8
